,Date,Time,hashtags,tagged_usernames,Text,tokens,data
839,2020-05-20,00:22:00,"['#pmcares', '#migrantworkers,']",['@sanjaysdutt:'],"['money', 'pmcares', 'given', 'state', 'govt', '&', 'amp', ';', 'migrantworkers', 'return', 'der', 'village', 'hve', 'job']","['money', 'pmcares', 'given', 'state', 'govt', '&', 'amp', ';', 'migrantworkers', 'return', 'der', 'village', 'hve', 'job']",money of pmcares will be given to state govt amp not to migrantworkers who on return to der village will hve no job no
840,2020-05-20,00:18:00,['#bjp!'],['@adhicutting'],"['amish', 'dev', 'guns', 'bjp', '!', 'hired', 'gun', 'gunning', 'makes', 'think', 'tide', 'sl']","['amish', 'dev', 'guns', 'bjp', '!', 'hired', 'gun', 'gunning', 'makes', 'think', 'tide', 'sl']",amish dev guns for the bjp from a hired gun to gunning for them makes me think that the tide is sl
841,2020-05-20,00:11:00,['#bjp'],['@dayanidhi_maran:'],"['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']","['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']",misogyny amp a track record of disrespecting women have become the trademark of bjp both online amp offline its now rea
842,2020-05-20,00:08:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],"['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']","['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']",breaking update coronavirus coronavirusupdate indiafightscovid  look at d figures of covid in india states ru
843,2020-05-20,00:08:00,"['#evm', '#bjp', '#vote.', ""#modimustresign'""]",['@narendramodi'],"['evm', 'story', 'right', '!', 'bjp', 'without', 'evm', 'would', 'never', 'got', 'single', 'vote', '.', 'modimustresign']","['evm', 'story', 'right', '!', 'bjp', 'without', 'evm', 'would', 'never', 'got', 'single', 'vote', '.', 'modimustresign']",so the evm story was right   bjp without evm would have never got a single vote    modimustresign
844,2020-05-20,00:07:00,"['#prashantkishore', '#narendramodi', '#bjp\\nthanks']","['@shahnawazkhanmm:', '@thewire_\\xe2\\x80\\xa6""']","['prashantkishore', 'narendramodi', 'bjp', 'thanks', 'centres', 'corona', 'mismanagement', 'staring', 'catastrophe']","['prashantkishore', 'narendramodi', 'bjp', 'thanks', 'centres', 'corona', 'mismanagement', 'staring', 'catastrophe']",prashantkishore narendramodi bjp thanks to centres corona mismanagement we are staring at a catastrophe
845,2020-05-20,00:05:00,"['#andhbhakt', '#bjp', '#rss\\n\\nhoti']",['@raja_africa:'],"['itcell', 'peddlers', 'spread', 'fake', 'news', '&', 'amp', ';', 'andhbhakt', 'get', 'carried', 'away', 'get', 'caught', 'na', 'aati', 'bjp', 'na', 'rss', 'hoti', 'sirf']","['itcell', 'peddlers', 'spread', 'fake', 'news', '&', 'amp', ';', 'andhbhakt', 'get', 'carried', 'away', 'get', 'caught', 'na', 'aati', 'bjp', 'na', 'rss', 'hoti', 'sirf']",itcell peddlers spread fake news  amp andhbhakt get carried away  and when they get caught na aati bjp na rss  hoti sirf
846,2020-05-20,11:50:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for
847,2020-05-20,11:50:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists
848,2020-05-20,11:49:00,"['#bjp', '#gandhi.\\nthat']",[],"['bjp', 'leaders', 'follow', 'gandhi', '.', 'behave', 'like', 'dhimmi', 'whimps', '.', 'talk', '56', 'iron', 'man', 'evaporate']","['bjp', 'leaders', 'follow', 'gandhi', '.', 'behave', 'like', 'dhimmi', 'whimps', '.', 'talk', '56', 'iron', 'man', 'evaporate']",bjp leaders follow gandhi that is why they behave like dhimmi whimps all talk of  and iron man has evaporate
