,Date,Time,hashtags,tagged_usernames,text,Text
470,2020-05-20,06:32:00,['#shocking'],['@karthik_thinks:'],  v.p duraiasamy (dmk) to join bjp ? shocking \n\nv. p duraisamy of dmk is in talks with tn bjp leader mr. murugan to joi\xe2\x80\xa6,  v.p duraiasamy (dmk) to join bjp ? shocking \n\nv. p duraisamy of dmk is in talks with tn bjp leader mr. murugan to joi\xe2\x80\xa6
471,2020-05-20,06:30:00,"['#bjp', '#migrant']","['@paharipiyali:', '@mahuamoitra']",   bjp has been very clear on its migrant policy.,   bjp has been very clear on its migrant policy.
472,2020-05-20,06:30:00,"['#bjp', '#govt', '#rail', '#police', '#migrantlabourers,']",['@santanusenmp:'],  bjp govt chargng rail fare police btng migrantlabourers sndng deadbdies with injiured frcing thm to walk miles t\xe2\x80\xa6,  bjp govt chargng rail fare police btng migrantlabourers sndng deadbdies with injiured frcing thm to walk miles t\xe2\x80\xa6
473,2020-05-20,06:30:00,"['#congress', '#bjp\\xe2\\x80\\xa6']",['@abpnews'], we are also not dying without cricket \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3..... a lot of entertainment is being done by congress bjp\xe2\x80\xa6, we are also not dying without cricket \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3..... a lot of entertainment is being done by congress bjp\xe2\x80\xa6
474,2020-05-20,06:28:00,"['#hindus', '#hindu', '#bjp.\\n\\nppl']","['@hbengal', '@bauddhika108']",  hindus will not be supporting fake hindu party bjp.\n\nppl have smartened up. no more getti\xe2\x80\xa6,  hindus will not be supporting fake hindu party bjp.\n\nppl have smartened up. no more getti\xe2\x80\xa6
475,2020-05-20,06:28:00,['#bjp'],['@iycassam:'],  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6,  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6
476,2020-05-20,06:28:00,[],['@ripunbora:'],  madam fm!\ntoday morning you accused cong ruled states that they failed to arrange train for the migrant workers perhaps you\xe2\x80\xa6,  madam fm!\ntoday morning you accused cong ruled states that they failed to arrange train for the migrant workers perhaps you\xe2\x80\xa6
477,2020-05-20,06:27:00,['#bjp'],['@iycassam:'],  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6,  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6
478,2020-05-20,06:26:00,['#bjp'],"['@sayanisengupt15:', '@bjp4bengal']",  this is what bjp always do..... ,  this is what bjp always do..... 
479,2020-05-20,06:26:00,"['#20lakhcrorepackage', '#jumla.\\n\\n#pmmodi', '#bjp', '#covid']",[],20lakhcrorepackage was an eyewash lie jumla.\n\npmmodi &amp; bjp govt has proposed to impose 15% covid tax. this g\xe2\x80\xa6,20lakhcrorepackage was an eyewash lie jumla.\n\npmmodi &amp; bjp govt has proposed to impose 15% covid tax. this g\xe2\x80\xa6
480,2020-05-20,06:26:00,['#bjp'],[],very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then an\xe2\x80\xa6,very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then an\xe2\x80\xa6
481,2020-05-20,06:26:00,"['#shanghai', '#rt', '#bharatmata', '#modi/', '#bjp', '#election2019']",[],shanghai rt bharatmata 1st book of its kind sitehow will modi/ bjp do in election2019,shanghai rt bharatmata 1st book of its kind sitehow will modi/ bjp do in election2019
482,2020-05-20,06:25:00,"['#bjp', '#uttarpradesh', '#congress', '#ajaykumarlallu', '#priyankagandhi\\xe2\\x80\\x99s']",['@nh_india:'],  bjp government in an act of vengeance booked uttarpradesh congress president ajaykumarlallu and priyankagandhi\xe2\x80\x99s secre\xe2\x80\xa6,  bjp government in an act of vengeance booked uttarpradesh congress president ajaykumarlallu and priyankagandhi\xe2\x80\x99s secre\xe2\x80\xa6
483,2020-05-20,06:25:00,[],[],for gods sake do not withdraw your complaint. sporting a beard can get you killed in this democratic nation. all of\xe2\x80\xa6,for gods sake do not withdraw your complaint. sporting a beard can get you killed in this democratic nation. all of\xe2\x80\xa6
484,2020-05-20,06:24:00,"['#andhbhakt', '#bjp', '#rss\\n\\nhoti']",['@raja_africa:'],  itcell peddlers spread fake news \n&amp; andhbhakt get carried away\n\nand when they get caught na aati bjp na rss\n\nhoti sirf\xe2\x80\xa6,  itcell peddlers spread fake news \n&amp; andhbhakt get carried away\n\nand when they get caught na aati bjp na rss\n\nhoti sirf\xe2\x80\xa6
485,2020-05-20,06:24:00,"['#bjp', ""#arrestpankajpunia'""]",[],we have supported and voted bjp to be safe  not from a political leader to disrespect our religion \narrestpankajpunia,we have supported and voted bjp to be safe  not from a political leader to disrespect our religion \narrestpankajpunia
486,2020-05-20,06:23:00,['#mpjothimani'],['@hamdansayedinc:'],  this is congress mpjothimani a fst gnratn politician from tn.she comes from a humble bckgrnd wrked her way to topher\xe2\x80\xa6,  this is congress mpjothimani a fst gnratn politician from tn.she comes from a humble bckgrnd wrked her way to topher\xe2\x80\xa6
487,2020-05-20,06:23:00,"['#india', '#bjp']",['@sambitswaraj'], brahmitdid she mention india or bjp or any other state government of india??\n\nyou took it on yours\xe2\x80\xa6, brahmitdid she mention india or bjp or any other state government of india??\n\nyou took it on yours\xe2\x80\xa6
488,2020-05-20,06:23:00,['#bjp'],[],\xf0\x9f\x98\x82 when they bjp actually get caught.. all they do is block or request tweeter to delete\nmorons! \xf0\x9f\x98\x82,\xf0\x9f\x98\x82 when they bjp actually get caught.. all they do is block or request tweeter to delete\nmorons! \xf0\x9f\x98\x82
489,2020-05-20,06:22:00,"['#gurgaon', '#udyogvihar', '#delhi']",['@ashishdua_inc:'],  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6,  industries in gurgaon udyogvihar are interlinked with delhi residential areas where many workers reside. what can be\xe2\x80\xa6
490,2020-05-20,06:21:00,"['#bjp', ""#india.'""]",['@clauderakisits:'],  a balanced and frank assessment of the bjp and its discriminatory approach towards muslims in india.,  a balanced and frank assessment of the bjp and its discriminatory approach towards muslims in india.
491,2020-05-20,06:20:00,['#bjp'],['@dayanidhi_maran:'],  misogyny &amp; a track record of disrespecting women have become the trademark of bjp both online &amp; offline. its now rea\xe2\x80\xa6,  misogyny &amp; a track record of disrespecting women have become the trademark of bjp both online &amp; offline. its now rea\xe2\x80\xa6
492,2020-05-20,06:20:00,['#jumla'],[],government to privatise non-strategic psus fm nirmala sitharaman !\n\nreality is for all to see !\nmodi ji\xe2\x80\x99s jumla o\xe2\x80\xa6,government to privatise non-strategic psus fm nirmala sitharaman !\n\nreality is for all to see !\nmodi ji\xe2\x80\x99s jumla o\xe2\x80\xa6
493,2020-05-20,06:20:00,"['#antinationalrahulgandhi', '#bjp', ""#congressagainstlabourers'""]",['@rssurjewala'], world most corrupt party is congress party.\n\nantinationalrahulgandhi \nbjp \ncongressagainstlabourers, world most corrupt party is congress party.\n\nantinationalrahulgandhi \nbjp \ncongressagainstlabourers
