,Unnamed: 0,Date,Time,hashtags,tagged_usernames,text,Text,tokens
1271,1271,2020-05-20,11:43:00,['#corona'],['@zeenews.'],28 positive corona zeehadists found hiding in markazee building of . so zee has officially added one more,"['28', 'positive', 'corona', 'zeehadists', 'found', 'hiding', 'markazee', 'building', '.', 'zee', 'officially', 'added', 'one']","['28', 'positive', 'corona', 'zeehadists', 'found', 'hiding', 'markazee', 'building', '.', 'zee', 'officially', 'added', 'one']"
1272,1272,2020-05-20,11:43:00,"['#corona', '#airlines', ""#covid__19'""]",['@ajatikaa:'],domestic flights operational from 25th may...call your loved ones home ) corona  airlines  covid__19,"['domestic', 'flights', 'operational', '25th', 'may', '...', 'call', 'loved', 'ones', 'home', ')', 'corona', 'airlines', 'covid__19']","['domestic', 'flights', 'operational', '25th', 'may', '...', 'call', 'loved', 'ones', 'home', ')', 'corona', 'airlines', 'covid__19']"
1273,1273,2020-05-20,11:43:00,"['#wednesdaythoughts', '#wednesdaymotivation', '#warzone', '#ramadan', ""#corona'""]",[],listen to this and change yourself  https//t.co/qlamc18lvj  wednesdaythoughts wednesdaymotivation warzone ramadan corona,"['listen', 'change', 'https//t.co/qlamc18lvj', 'wednesdaythoughts', 'wednesdaymotivation', 'warzone', 'ramadan', 'corona']","['listen', 'change', 'https//t.co/qlamc18lvj', 'wednesdaythoughts', 'wednesdaymotivation', 'warzone', 'ramadan', 'corona']"
1274,1274,2020-05-20,11:43:00,[],[],guys please now get out of from the controversy of youtube v/s tiktok bcz everyone know who is the biggest and bes,"['guys', 'please', 'get', 'controversy', 'youtube', 'v/s', 'tiktok', 'bcz', 'everyone', 'know', 'biggest', 'bes']","['guys', 'please', 'get', 'controversy', 'youtube', 'v/s', 'tiktok', 'bcz', 'everyone', 'know', 'biggest', 'bes']"
1275,1275,2020-05-20,11:43:00,['#gohungergo'],"['@seethakkamla:', '@incindia', '@mahilacongress', '@chhattisgarhpmc', ""@r\\xe2\\x80\\xa6'""]",56th day of gohungergo  serving kids are my happiest moments in my journey,"['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']","['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']"
1276,1276,2020-05-20,11:43:00,"['#curfew', '#corona,']",[],with curfew &amp; corona ive been feeling like every new day is a battle.,"['curfew', '&', 'amp', ';', 'corona', 'ive', 'feeling', 'like', 'every', 'new', 'day', 'battle', '.']","['curfew', '&', 'amp', ';', 'corona', 'ive', 'feeling', 'like', 'every', 'new', 'day', 'battle', '.']"
1277,1277,2020-05-20,11:42:00,"['#covid', '#gyms', '#covid__19\\xe2\\x80\\xa6']",[],ok. premiers were done now. good job. now open up business and open up the borders!!! covid gyms covid__19,"['ok.', 'premiers', 'done', '.', 'good', 'job', '.', 'open', 'business', 'open', 'borders', '!', '!', '!', 'covid', 'gyms', 'covid__19']","['ok.', 'premiers', 'done', '.', 'good', 'job', '.', 'open', 'business', 'open', 'borders', '!', '!', '!', 'covid', 'gyms', 'covid__19']"
1278,1278,2020-05-20,11:42:00,[],[],lets see how much government aid they send to michigan for this (yet they cant help starving americans during a p,"['lets', 'see', 'much', 'government', 'aid', 'send', 'michigan', '(', 'yet', 'cant', 'help', 'starving', 'americans', 'p']","['lets', 'see', 'much', 'government', 'aid', 'send', 'michigan', '(', 'yet', 'cant', 'help', 'starving', 'americans', 'p']"
1279,1279,2020-05-20,11:42:00,"['#punjab', '#pti', '#corona']",['@monaalamm:'],mpa punjab of pti shaheen raza passes away due to corona  may allah bless her soul.  this is the first casualty of a poli,"['mpa', 'punjab', 'pti', 'shaheen', 'raza', 'passes', 'away', 'due', 'corona', 'may', 'allah', 'bless', 'soul', '.', 'first', 'casualty', 'poli']","['mpa', 'punjab', 'pti', 'shaheen', 'raza', 'passes', 'away', 'due', 'corona', 'may', 'allah', 'bless', 'soul', '.', 'first', 'casualty', 'poli']"
1280,1280,2020-05-20,11:42:00,"['#corona', '#virus']","[""@youtube'""]",my thoughts on corona virus disease / covid-19 via,"['thoughts', 'corona', 'virus', 'disease', '/', 'covid-19', 'via']","['thoughts', 'corona', 'virus', 'disease', '/', 'covid-19', 'via']"
1281,1281,2020-05-20,11:42:00,"['#bangalore', '#sonicboom', '#corona', '#""']",[],thats 2020 letting out a light fart as it continues to take a dump on people. bangalore sonicboom corona,"['thats', '2020', 'letting', 'light', 'fart', 'continues', 'take', 'dump', 'people', '.', 'bangalore', 'sonicboom', 'corona']","['thats', '2020', 'letting', 'light', 'fart', 'continues', 'take', 'dump', 'people', '.', 'bangalore', 'sonicboom', 'corona']"
1282,1282,2020-05-20,11:42:00,"['#covid19:', '#beware.']","['@ascionline:', ""@p\\xe2\\x80\\xa6'""]",fighting covid19 advertisers beware. know the laws of the land that prohibit misleading ads.,"['fighting', 'covid19', 'advertisers', 'beware', '.', 'know', 'laws', 'land', 'prohibit', 'misleading', 'ads', '.']","['fighting', 'covid19', 'advertisers', 'beware', '.', 'know', 'laws', 'land', 'prohibit', 'misleading', 'ads', '.']"
1283,1283,2020-05-20,11:42:00,['#corona'],['@mianfaisal135:'],the voice u hear on all cellular networks. corona,"['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']","['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']"
1284,1284,2020-05-20,11:42:00,['#pakistan.\\n\\na'],['@azeema_1:'],atrocities on minorities is now routine in pakistan.  a hindu familyincl women&amp;children r beatenforced 2leave their home i,"['atrocities', 'minorities', 'routine', 'pakistan', '.', 'hindu', 'familyincl', 'women', '&', 'amp', ';', 'children', 'r', 'beatenforced', '2leave', 'home']","['atrocities', 'minorities', 'routine', 'pakistan', '.', 'hindu', 'familyincl', 'women', '&', 'amp', ';', 'children', 'r', 'beatenforced', '2leave', 'home']"
1285,1285,2020-05-20,11:42:00,['#corona\\xe2\\x80\\xa6'],[],but what if they came to give us vaccines for corona for theyve also suffered and recovered from it !  corona,"['came', 'give', 'us', 'vaccines', 'corona', 'theyve', 'also', 'suffered', 'recovered', '!', 'corona']","['came', 'give', 'us', 'vaccines', 'corona', 'theyve', 'also', 'suffered', 'recovered', '!', 'corona']"
1286,1286,2020-05-20,11:42:00,['#'],[],more than 4.89 million people infected by the pandemic globally | 323000 deaths   latest updates |  cases per mil,"['4.89', 'million', 'people', 'infected', 'pandemic', 'globally', '|', '323000', 'deaths', 'latest', 'updates', '|', 'cases', 'per', 'mil']","['4.89', 'million', 'people', 'infected', 'pandemic', 'globally', '|', '323000', 'deaths', 'latest', 'updates', '|', 'cases', 'per', 'mil']"
1287,1287,2020-05-20,11:42:00,['#gohungergo'],"['@seethakkamla:', '@incindia', '@mahilacongress', '@chhattisgarhpmc', ""@r\\xe2\\x80\\xa6'""]",56th day of gohungergo  serving kids are my happiest moments in my journey,"['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']","['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']"
1288,1288,2020-05-20,11:42:00,[],[],this bus driver takes up govt to cleaners. bjp is creating hindrances because the buses are being used to ferry poo,"['bus', 'driver', 'takes', 'govt', 'cleaners', '.', 'bjp', 'creating', 'hindrances', 'buses', 'used', 'ferry', 'poo']","['bus', 'driver', 'takes', 'govt', 'cleaners', '.', 'bjp', 'creating', 'hindrances', 'buses', 'used', 'ferry', 'poo']"
1289,1289,2020-05-20,11:42:00,['#pakistan.\\n\\na'],['@azeema_1:'],atrocities on minorities is now routine in pakistan.  a hindu familyincl women&amp;children r beatenforced 2leave their home i,"['atrocities', 'minorities', 'routine', 'pakistan', '.', 'hindu', 'familyincl', 'women', '&', 'amp', ';', 'children', 'r', 'beatenforced', '2leave', 'home']","['atrocities', 'minorities', 'routine', 'pakistan', '.', 'hindu', 'familyincl', 'women', '&', 'amp', ';', 'children', 'r', 'beatenforced', '2leave', 'home']"
1290,1290,2020-05-20,11:42:00,"['#trump', '#doctors', '#covid', '#covid_19', '#covid\\xe3\\x83\\xbc19', '#corona', '#coronavirus\\xe2\\x80\\xa6']",[],trump allies lining up doctors to prescribe rapid reopening  covid covid_19 covid19 corona coronavirus,"['trump', 'allies', 'lining', 'doctors', 'prescribe', 'rapid', 'reopening', 'covid', 'covid_19', 'covid19', 'corona', 'coronavirus']","['trump', 'allies', 'lining', 'doctors', 'prescribe', 'rapid', 'reopening', 'covid', 'covid_19', 'covid19', 'corona', 'coronavirus']"
